//time         ,Q            ,time       ,TSS         ,time        ,VSS       ,time        ,BOD         ,time       ,sBOD       ,time       ,TP        ,time       ,TSP        ,time       ,TKN       ,time       ,sCOD       ,time       ,NH3       ,time       ,NO3
//          ,m^3/day           ,         ,mg/L        ,            ,mg/L       ,           ,mg/L        ,           ,mg/L       ,           ,mg/L       ,          ,mg/L       ,            ,mg/L       ,         ,mg/L       ,           ,mg/L       ,          ,mg/L
40210       ,108292.7       ,40210       ,19.66       ,40210       ,13.9       ,40210       ,16.8       ,40210       ,1.0       ,40210       ,0.3       ,40210       ,0.1       ,40210       ,23.5       ,40210       ,15.7       ,40210       ,14.9       ,40210       ,0.3
40211       ,141891.0       ,40211       ,14.31       ,40211       ,11.0       ,40211       ,8.3       ,40211       ,0.0       ,40211       ,0.2       ,40211       ,0.1       ,40211       ,23.2       ,40211       ,28.2       ,40211       ,16.2       ,40211       ,0.2
40212       ,137426.8       ,40212       ,16.23       ,40212       ,12.0       ,40212       ,9.1       ,40212       ,0.0       ,40212       ,0.3       ,40212       ,0.1       ,40212       ,23.3       ,40212       ,28.5       ,40212       ,16.5       ,40212       ,0.3
40213       ,135924.3       ,40213       ,13.38       ,40213       ,11.0       ,40213       ,8.5       ,40213       ,0.0       ,40213       ,0.2       ,40213       ,0.1       ,40213       ,21.1       ,40213       ,27.4       ,40213       ,15.1       ,40213       ,0.3
40214       ,128564.8       ,40214       ,9.45       ,40214       ,6.8       ,40214       ,4.7       ,40214       ,0.0       ,40214       ,0.2       ,40214       ,0.0       ,40214       ,21.1       ,40214       ,26.2       ,40214       ,14.6       ,40214       ,0.3
40215       ,126760.4       ,40215       ,13.57       ,40215       ,9.7       ,40215       ,8.2       ,40215       ,0.0       ,40215       ,0.2       ,40215       ,0.0       ,40215       ,16.0       ,40215       ,26.2       ,40215       ,13.3       ,40215       ,0.3
40216       ,130688.8       ,40216       ,19.79       ,40216       ,12.6       ,40216       ,10.5       ,40216       ,0.0       ,40216       ,0.2       ,40216       ,0.1       ,40216       ,15.0       ,40216       ,21.5       ,40216       ,13.5       ,40216       ,0.4
40217       ,133153.5       ,40217       ,16.39       ,40217       ,7.7       ,40217       ,12.2       ,40217       ,0.0       ,40217       ,0.1       ,40217       ,0.0       ,40217       ,18.4       ,40217       ,27.5       ,40217       ,13.6       ,40217       ,0.4
40218       ,131437.5       ,40218       ,11.71       ,40218       ,4.2       ,40218       ,9.7       ,40218       ,0.0       ,40218       ,0.2       ,40218       ,0.1       ,40218       ,18.3       ,40218       ,26.8       ,40218       ,12.6       ,40218       ,0.2
40219       ,131050.5       ,40219       ,4.34       ,40219       ,2.7       ,40219       ,7.3       ,40219       ,0.0       ,40219       ,0.2       ,40219       ,0.1       ,40219       ,17.5       ,40219       ,22.2       ,40219       ,13.9       ,40219       ,0.2
40220       ,133355.4       ,40220       ,4.16       ,40220       ,3.2       ,40220       ,6.9       ,40220       ,0.0       ,40220       ,0.1       ,40220       ,0.0       ,40220       ,15.3       ,40220       ,18.8       ,40220       ,13.7       ,40220       ,0.4
40221       ,138019.9       ,40221       ,6.20       ,40221       ,4.4       ,40221       ,10.1       ,40221       ,0.0       ,40221       ,0.2       ,40221       ,0.1       ,40221       ,15.6       ,40221       ,26.2       ,40221       ,14.0       ,40221       ,0.5
40222       ,135054.7       ,40222       ,10.37       ,40222       ,8.4       ,40222       ,7.5       ,40222       ,1.4       ,40222       ,0.1       ,40222       ,0.1       ,40222       ,12.0       ,40222       ,26.2       ,40222       ,10.4       ,40222       ,0.4
40223       ,133708.7       ,40223       ,3.00       ,40223       ,2.0       ,40223       ,7.7       ,40223       ,1.7       ,40223       ,0.2       ,40223       ,0.1       ,40223       ,16.4       ,40223       ,23.9       ,40223       ,14.8       ,40223       ,0.2
40224       ,136829.6       ,40224       ,4.22       ,40224       ,2.6       ,40224       ,8.4       ,40224       ,2.2       ,40224       ,0.2       ,40224       ,0.1       ,40224       ,17.1       ,40224       ,29.1       ,40224       ,14.0       ,40224       ,0.2
40225       ,136720.2       ,40225       ,9.16       ,40225       ,7.4       ,40225       ,10.4       ,40225       ,1.9       ,40225       ,0.2       ,40225       ,0.1       ,40225       ,20.0       ,40225       ,21.9       ,40225       ,13.6       ,40225       ,0.4
40226       ,134596.2       ,40226       ,7.34       ,40226       ,4.2       ,40226       ,8.3       ,40226       ,0.0       ,40226       ,0.2       ,40226       ,0.1       ,40226       ,18.7       ,40226       ,28.2       ,40226       ,14.0       ,40226       ,0.5
40227       ,145329.9       ,40227       ,6.05       ,40227       ,2.5       ,40227       ,8.2       ,40227       ,0.0       ,40227       ,0.2       ,40227       ,0.1       ,40227       ,20.5       ,40227       ,28.9       ,40227       ,14.4       ,40227       ,0.5
40228       ,155441.1       ,40228       ,17.81       ,40228       ,10.1       ,40228       ,11.4       ,40228       ,1.5       ,40228       ,0.2       ,40228       ,0.1       ,40228       ,17.0       ,40228       ,26.2       ,40228       ,14.1       ,40228       ,0.4
40229       ,137432.7       ,40229       ,7.57       ,40229       ,6.6       ,40229       ,12.0       ,40229       ,2.6       ,40229       ,0.2       ,40229       ,0.1       ,40229       ,16.3       ,40229       ,26.2       ,40229       ,11.0       ,40229       ,0.5
40230       ,156501.1       ,40230       ,7.45       ,40230       ,6.5       ,40230       ,15.3       ,40230       ,2.6       ,40230       ,0.2       ,40230       ,0.0       ,40230       ,15.1       ,40230       ,41.3       ,40230       ,11.0       ,40230       ,0.3
40231       ,195388.2       ,40231       ,9.30       ,40231       ,4.3       ,40231       ,15.7       ,40231       ,3.4       ,40231       ,0.2       ,40231       ,0.1       ,40231       ,15.2       ,40231       ,26.8       ,40231       ,11.4       ,40231       ,0.3
40232       ,214878.2       ,40232       ,11.94       ,40232       ,9.9       ,40232       ,25.8       ,40232       ,5.7       ,40232       ,0.3       ,40232       ,0.1       ,40232       ,16.0       ,40232       ,23.6       ,40232       ,9.8       ,40232       ,0.6
40233       ,170443.9       ,40233       ,23.11       ,40233       ,17.1       ,40233       ,26.5       ,40233       ,2.8       ,40233       ,0.4       ,40233       ,0.1       ,40233       ,16.8       ,40233       ,22.1       ,40233       ,10.0       ,40233       ,0.4
40234       ,168071.8       ,40234       ,11.53       ,40234       ,6.6       ,40234       ,14.0       ,40234       ,4.7       ,40234       ,0.2       ,40234       ,0.0       ,40234       ,16.6       ,40234       ,23.0       ,40234       ,11.3       ,40234       ,0.4
40235       ,173451.8       ,40235       ,8.83       ,40235       ,7.2       ,40235       ,12.3       ,40235       ,2.6       ,40235       ,0.2       ,40235       ,0.0       ,40235       ,15.1       ,40235       ,26.2       ,40235       ,14.6       ,40235       ,0.4
40236       ,161366.9       ,40236       ,13.62       ,40236       ,12.6       ,40236       ,       ,40236       ,0.0       ,40236       ,0.2       ,40236       ,0.1       ,40236       ,17.0       ,40236       ,26.2       ,40236       ,12.7       ,40236       ,0.4
40237       ,163671.2       ,40237       ,6.17       ,40237       ,11.2       ,40237       ,14.0       ,40237       ,2.4       ,40237       ,0.2       ,40237       ,0.1       ,40237       ,17.7       ,40237       ,26.3       ,40237       ,11.4       ,40237       ,0.5
40238       ,165729.5       ,40238       ,16.25       ,40238       ,13.7       ,40238       ,19.4       ,40238       ,3.1       ,40238       ,0.2       ,40238       ,0.1       ,40238       ,18.6       ,40238       ,24.8       ,40238       ,11.8       ,40238       ,0.4
40239       ,189059.1       ,40239       ,11.65       ,40239       ,10.3       ,40239       ,14.7       ,40239       ,2.9       ,40239       ,0.3       ,40239       ,0.1       ,40239       ,18.3       ,40239       ,22.1       ,40239       ,12.5       ,40239       ,0.3
40240       ,166590.7       ,40240       ,8.57       ,40240       ,6.4       ,40240       ,22.2       ,40240       ,3.2       ,40240       ,0.3       ,40240       ,0.1       ,40240       ,19.0       ,40240       ,21.9       ,40240       ,13.5       ,40240       ,0.5
40241       ,159166.6       ,40241       ,20.88       ,40241       ,14.8       ,40241       ,39.8       ,40241       ,3.6       ,40241       ,0.3       ,40241       ,0.1       ,40241       ,23.3       ,40241       ,26.9       ,40241       ,13.9       ,40241       ,0.6
40242       ,158925.3       ,40242       ,16.63       ,40242       ,12.7       ,40242       ,23.3       ,40242       ,6.7       ,40242       ,0.5       ,40242       ,0.1       ,40242       ,26.2       ,40242       ,26.2       ,40242       ,14.6       ,40242       ,0.3
40243       ,154647.8       ,40243       ,12.16       ,40243       ,10.0       ,40243       ,23.8       ,40243       ,5.7       ,40243       ,0.3       ,40243       ,0.1       ,40243       ,24.0       ,40243       ,26.2       ,40243       ,13.1       ,40243       ,0.6
40244       ,132543.7       ,40244       ,15.51       ,40244       ,11.3       ,40244       ,21.5       ,40244       ,2.7       ,40244       ,0.3       ,40244       ,0.1       ,40244       ,22.2       ,40244       ,27.2       ,40244       ,12.0       ,40244       ,0.5
40245       ,134537.3       ,40245       ,14.24       ,40245       ,12.1       ,40245       ,23.2       ,40245       ,5.8       ,40245       ,0.3       ,40245       ,0.1       ,40245       ,21.2       ,40245       ,31.8       ,40245       ,11.1       ,40245       ,0.1
40246       ,132051.6       ,40246       ,14.32       ,40246       ,12.2       ,40246       ,22.9       ,40246       ,6.3       ,40246       ,0.5       ,40246       ,0.2       ,40246       ,23.5       ,40246       ,23.0       ,40246       ,17.4       ,40246       ,0.9
40247       ,117903.9       ,40247       ,29.85       ,40247       ,21.4       ,40247       ,28.2       ,40247       ,6.7       ,40247       ,0.6       ,40247       ,0.1       ,40247       ,20.8       ,40247       ,24.3       ,40247       ,17.7       ,40247       ,0.9
40248       ,118168.8       ,40248       ,22.05       ,40248       ,18.5       ,40248       ,20.8       ,40248       ,6.2       ,40248       ,0.4       ,40248       ,0.1       ,40248       ,24.6       ,40248       ,31.6       ,40248       ,18.1       ,40248       ,0.9
40249       ,161617.7       ,40249       ,25.55       ,40249       ,22.1       ,40249       ,21.0       ,40249       ,6.3       ,40249       ,0.6       ,40249       ,0.1       ,40249       ,20.4       ,40249       ,26.2       ,40249       ,15.3       ,40249       ,0.9
40250       ,173310.8       ,40250       ,24.60       ,40250       ,21.1       ,40250       ,14.0       ,40250       ,4.9       ,40250       ,0.8       ,40250       ,0.0       ,40250       ,14.5       ,40250       ,26.2       ,40250       ,10.6       ,40250       ,0.7
